date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:26	14493/14493	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:26%20GMT	https://www.localdigitalcoalition.uk/products-update-archive/?id=6872	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/products-update-archive/indexd8db.html	(from https://www.localdigitalcoalition.uk/product/deferred-payment-agreement-dpa-calculator/)
12:21:27	20225/20225	---M--	200	added ('OK')	image/jpeg	etag:%22198ccbfd-4f01-514c799dd0700%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2015/04/2014-06-21-10.34.02-300x225.jpg	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2015/04/2014-06-21-10.34.02-300x225.jpg	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:27	8327/8327	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:27%20GMT	https://www.localdigitalcoalition.uk/resource/deferred-payment-agreement-dpa-calculator-explainer-video/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/deferred-payment-agreement-dpa-calculator-explainer-video/index.html	(from https://www.localdigitalcoalition.uk/product/deferred-payment-agreement-dpa-calculator/)
12:21:28	19788/19788	---M--	200	added ('OK')	image/jpeg	etag:%22198ccb8f-4d4c-52715b077f000%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2015/04/2014-06-21-10.34.02-300x225-300x225.jpg	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2015/04/2014-06-21-10.34.02-300x225-300x225.jpg	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:28	9035/9035	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:27%20GMT	https://www.localdigitalcoalition.uk/resource/local-digital-open-api-demonstrator-deferred-payments-calculator-linda-ohalloran-and-paul-tomlinson-june-2015/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/local-digital-open-api-demonstrator-deferred-payments-calculator-linda-ohalloran-and-paul-tomlinson-june-2015/index.html	(from https://www.localdigitalcoalition.uk/product/deferred-payment-agreement-dpa-calculator/)
12:21:28	8607/8607	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:27%20GMT	https://www.localdigitalcoalition.uk/resource/for-use-deferred-payment-agreement-dpa-calculator-apis/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/for-use-deferred-payment-agreement-dpa-calculator-apis/index.html	(from https://www.localdigitalcoalition.uk/product/deferred-payment-agreement-dpa-calculator/)
12:21:29	23096/23096	---M--	200	added ('OK')	image/jpeg	etag:%22198ccbf6-5a38-514c799ec4940%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2015/04/2014-11-04-15.57.57-300x225.jpg	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2015/04/2014-11-04-15.57.57-300x225.jpg	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:29	8700/8700	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:28%20GMT	https://www.localdigitalcoalition.uk/resource/financial-information-and-advice-and-duties-under-the-care-act-john-murphy-june-2015/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/financial-information-and-advice-and-duties-under-the-care-act-john-murphy-june-2015/index.html	(from https://www.localdigitalcoalition.uk/product/deferred-payment-agreement-dpa-calculator/)
12:21:30	292/292	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Mar%202019%2012:21:30%20GMT	http://publicservicetransformation.org/images/2902929_ChallengePanelReport_acc3.pdf	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/images/2902929_ChallengePanelReport_acc3.6a.delayed	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:30	22379/22379	---M--	200	added ('OK')	image/jpeg	etag:%22198ccc08-576b-52715b068adc0%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2015/04/2014-11-04-15.57.57-300x225-300x225.jpg	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2015/04/2014-11-04-15.57.57-300x225-300x225.jpg	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:30	8672/8672	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:29%20GMT	https://www.localdigitalcoalition.uk/resource/facilitating-access-to-information-and-advice-jane-finnerty-june-2015/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/facilitating-access-to-information-and-advice-jane-finnerty-june-2015/index.html	(from https://www.localdigitalcoalition.uk/product/deferred-payment-agreement-dpa-calculator/)
12:21:30	8477/8477	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:29%20GMT	https://www.localdigitalcoalition.uk/resource/deferred-payment-agreement-dpa-calculator-user-testing-plan-and-scenarios/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/deferred-payment-agreement-dpa-calculator-user-testing-plan-and-scenarios/index.html	(from https://www.localdigitalcoalition.uk/product/deferred-payment-agreement-dpa-calculator/)
12:21:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Mar%202019%2012:21:33%20GMT	https://publicservicetransformation.org/images/2902929_ChallengePanelReport_acc3.pdf	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/images/2902929_ChallengePanelReport_acc3.6b.delayed	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:32	89782/89782	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Mar%202019%2012:21:33%20GMT	https://www.publicservicetransformation.org/images/2902929_ChallengePanelReport_acc3.pdf	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/images/2902929_ChallengePanelReport_acc3.6c.delayed	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:33	154621/154621	---M--	200	added ('OK')	image/png	etag:%22198ccb6c-25bfd-5242ff3173300%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2015/04/trello3.png	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2015/04/trello3.png	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:33	5354/5354	---M--	200	added ('OK')	image/jpeg	etag:%22198cc957-14ea-52715a561cd80%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2015/09/sarah-prag-150x120.jpg	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2015/09/sarah-prag-150x120.jpg	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:33	5680/5680	---M--	200	added ('OK')	image/jpeg	etag:%22198cd359-1630-52715a4d87940%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2015/10/paul_mackay-150x120.jpg	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2015/10/paul_mackay-150x120.jpg	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:36	52472/52472	---M--	200	added ('OK')	image/png	etag:%22198cc6b2-ccf8-52cfae5b761c0%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2016/03/Linda-pres-thumb.png	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2016/03/Linda-pres-thumb.png	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:37	17459/17459	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:34%20GMT	https://www.localdigitalcoalition.uk/our-approach-to-service-design-and-what-it-could-mean-for-you/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/our-approach-to-service-design-and-what-it-could-mean-for-you/index.html	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:37	23967/23967	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:34%20GMT	https://www.localdigitalcoalition.uk/tech-trends-and-the-future-of-local-waste-services/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/tech-trends-and-the-future-of-local-waste-services/index.html	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:37	15823/15823	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:35%20GMT	https://www.localdigitalcoalition.uk/reflections-on-developing-the-business-case-for-the-waste-services-standards-project/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/reflections-on-developing-the-business-case-for-the-waste-services-standards-project/index.html	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:39	52738/52738	---M--	200	added ('OK')	image/png	etag:%22198cc626-ce02-52cfafe924c00%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2016/03/Sarah-pres-thumb.png	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2016/03/Sarah-pres-thumb.png	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:39	8081/8081	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:38%20GMT	https://www.localdigitalcoalition.uk/resource/the-project-so-far-waste-standards-beta-showcase-linda-ohalloran-february-2016/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/the-project-so-far-waste-standards-beta-showcase-linda-ohalloran-february-2016/index.html	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:39	8265/8265	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:38%20GMT	https://www.localdigitalcoalition.uk/resource/latest-business-case-research-waste-standards-beta-showcase-sarah-prag-february-2016/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/latest-business-case-research-waste-standards-beta-showcase-sarah-prag-february-2016/index.html	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:39	26060/26060	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:38%20GMT	https://www.localdigitalcoalition.uk/products-update-archive/?id=6861	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/products-update-archive/index647f.html	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:39	51420/51420	---M--	200	added ('OK')	image/png	etag:%22198cc657-c8dc-52cfb26726d40%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2016/03/Paul-pres-thumb.png	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2016/03/Paul-pres-thumb.png	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:39	8343/8343	---M--	200	added ('OK')	image/png	etag:%22198cc782-2097-52db49d998340%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2016/03/waste-beta-thumbnail-2_border-150x120.png	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2016/03/waste-beta-thumbnail-2_border-150x120.png	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:40	61282/61282	---M--	200	added ('OK')	image/png	etag:%22198cc62d-ef62-52cfb3c526700%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2016/03/MVC-panel-thumb.png	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2016/03/MVC-panel-thumb.png	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:41	56661/56661	---M--	200	added ('OK')	image/png	etag:%22198cc709-dd55-52cfb53080040%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2016/03/Closing-panel-thumb.png	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2016/03/Closing-panel-thumb.png	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:41	8460/8460	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:41%20GMT	https://www.localdigitalcoalition.uk/resource/local-authority-partners-panel-waste-standards-beta-showcase-february-2016/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/local-authority-partners-panel-waste-standards-beta-showcase-february-2016/index.html	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:41	8291/8291	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:40%20GMT	https://www.localdigitalcoalition.uk/resource/the-technical-standards-waste-standards-beta-showcase-paul-mackay-february-2016/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/the-technical-standards-waste-standards-beta-showcase-paul-mackay-february-2016/index.html	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:41	43683/43683	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:40%20GMT	https://www.localdigitalcoalition.uk/resource/making-the-case-for-data-standards-a-beta-business-case/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/making-the-case-for-data-standards-a-beta-business-case/index.html	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:42	20733/20733	---M--	200	added ('OK')	image/png	etag:%22198cc60f-50fd-52c8a06a2e100%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2016/02/Capture-150x120.png	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2016/02/Capture-150x120.png	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:42	22810/22810	---M--	200	added ('OK')	image/png	etag:%22198cc5b0-591a-529a41fb6c3c0%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2016/01/project-roadmap-150x120.png	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2016/01/project-roadmap-150x120.png	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:42	48390/48390	---M--	200	added ('OK')	image/png	etag:%22198cc565-bd06-5292a73387b80%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2016/01/elvis-150x120.png	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2016/01/elvis-150x120.png	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:42	7429/7429	---M--	200	added ('OK')	image/png	etag:%22198cc54d-1d05-5292a97945800%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2016/01/data-modelling-150x120.png	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2016/01/data-modelling-150x120.png	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:43	8506/8506	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:42%20GMT	https://www.localdigitalcoalition.uk/resource/next-steps-closing-panel-waste-standards-beta-showcase-february-2016/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/next-steps-closing-panel-waste-standards-beta-showcase-february-2016/index.html	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:43	11535/11535	---M--	200	added ('OK')	image/png	etag:%22198cd3a6-2d0f-52715a2b32840%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2015/10/making-the-case-150x120.png	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2015/10/making-the-case-150x120.png	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:43	8769/8769	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:42%20GMT	https://www.localdigitalcoalition.uk/resource/local-waste-services-standards-beta-showcase-slides-february-2016/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/local-waste-services-standards-beta-showcase-slides-february-2016/index.html	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:43	8846/8846	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:43%20GMT	https://www.localdigitalcoalition.uk/resource/local-waste-service-standards-pilot-project-phase-2-planning-workshop-linda-ohalloran-january-2016/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/local-waste-service-standards-pilot-project-phase-2-planning-workshop-linda-ohalloran-january-2016/index.html	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:43	51819/51819	---M--	200	added ('OK')	image/png	etag:%22198cd361-ca6b-52715a21a91c0%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2015/10/thumbnail-panel-150x120.png	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2015/10/thumbnail-panel-150x120.png	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:44	26003/26003	---M--	200	added ('OK')	image/png	etag:%22198cd338-6593-52715a0ac5bc0%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2015/10/welcome-pioneers-150x120.png	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2015/10/welcome-pioneers-150x120.png	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:44	10003/10003	---M--	200	added ('OK')	image/png	etag:%22198cd3b5-2713-52715a2856180%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2015/10/Luton-150x120.png	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2015/10/Luton-150x120.png	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:44	8562/8562	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:44%20GMT	https://www.localdigitalcoalition.uk/resource/making-the-business-case-alpha/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/making-the-business-case-alpha/index.html	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:44	8726/8726	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:44%20GMT	https://www.localdigitalcoalition.uk/resource/local-waste-service-standards-front-end-integration-workshop-linda-ohalloran-and-paul-mackay-january-2016/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/local-waste-service-standards-front-end-integration-workshop-linda-ohalloran-and-paul-mackay-january-2016/index.html	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:45	10460/10460	---M--	200	added ('OK')	image/png	etag:%22198cd32b-28dc-52715a294a3c0%22	https://www.localdigitalcoalition.uk/wp-content/uploads/2015/10/alpha-150x120.png	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/wp-content/uploads/2015/10/alpha-150x120.png	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
12:21:45	8648/8648	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2012:21:44%20GMT	https://www.localdigitalcoalition.uk/resource/data-modelling-and-apis-for-the-waste-services-standards-project-paul-mackay-january-2016/	C:/Users/bcheetha/Downloads/httrack/websites/Local%20Digital%20Coalition2/resource/data-modelling-and-apis-for-the-waste-services-standards-project-paul-mackay-january-2016/index.html	(from https://www.localdigitalcoalition.uk/product/local-waste-service-standards-project/)
