ServiceNumber,LGILInteractionNo,ServiceName,LGChLChannelNo,ChannelAddress
1077,0,Apply for licenses - performing animals,1,
1077,8,Find out about - licenses - performing animals,1,
1077,9,Regulation of licences - performing animals,1,
1077,11,Changing circumstances for licences - performing animals,1,
1078,0,Apply for licences - window cleaners - business,1,
1078,8,Find out about licences - window cleaners - business,1,
1078,9,Regulation for licences - window cleaners - business,1,
1078,11,Changing circumstances licences - window cleaners - business,1,
1160,0,Apply for: Licences -stage hypnotism,1,
1160,8,Find out about: Licences -stage hypnotism,1,
1160,9,Regulation of licences - stage hypnotism,1,
1161,0,Apply for Housing  registration - private landlords,1,http://www.landlordregistrationscotland.gov.uk
1161,8,Find out about Housing  registration - private landlords,1,
1161,9,Regulation for Housing  registration - private landlords,1,
1161,11,Changing circumstances Housing  registration - private landlords,1,http://www.landlordregistrationscotland.gov.uk
1256,0,Apply for: Safety certificate - sports grounds - regulated stands,1,
1256,8,Find out about - Safety certificate - sports grounds - regulated stands,1,
1256,9,Regulation of Safety certificate - sports grounds - regulated stands,1,
1256,11,Changing circumstances Safety certificate - sports grounds - regulated stands,1,
1293,0,Apply for food premises - approval ,1,
1293,8,Find out about food premises - approval ,1,
1293,9,Regulation of food premises - approval ,1,
1293,11,Changing circumstances food premises - approval,1,
1295,0,Apply for licences - street works,1,
1295,8,Find out about licences - street works,1,
1295,9,Regulation of licences - street works,1,
1296,0,Apply for approval of premises for civil marriage and civil partnership,1,
1296,8,Find out about approval of premises for civil marriage and civil partnership,1,
1296,9,Regulation of approval of premises for civil marriage and civil partnership,1,
1296,11,Changing circumstances for approval of premises for civil marriage and civil partnership,1,
1335,8,Find out about animal movement notification (pigs),1
1343,0,Apply for licences - raised structures,1
1343,8,Find out about licences - raised structures,1
1343,9,Regulation of licences - raised structures,1
